split,year,rows,zctas,target_min,target_median,target_mean,target_max
test_2023,2023,1138,1138,55557.97101449275,764600.9783368274,932541.0278755992,7610922.38267148
train_2012_2022,2012,1084,1084,35226.41509433962,376849.8855519997,470024.9653016642,3674910.112359551
train_2012_2022,2013,1082,1082,37581.71929824561,406041.43147117813,510680.7192303774,3133378.3454987835
train_2012_2022,2014,1157,1157,40698.18461538461,430842.962962963,545302.3153897,5774168.0672268905
train_2012_2022,2015,1124,1124,37715.38461538462,462191.02833038516,584385.3687891375,5658091.7030567685
train_2012_2022,2016,1143,1143,42034.78125,502799.14024717896,627211.5753651316,4739394.331983806
train_2012_2022,2017,1146,1146,72284.9268292683,538740.8635839815,672780.5679453206,6671823.2558139535
train_2012_2022,2018,1155,1155,33910.95890410959,539572.1649484537,670565.768428769,6306087.557603687
train_2012_2022,2019,1159,1159,60409.09090909091,592358.4146788991,720574.3698839059,6125166.666666667
train_2012_2022,2020,1178,1178,55900.82644628099,689714.9796721735,844299.6949518753,7560782.874617737
train_2012_2022,2021,1160,1160,75694.17475728155,734431.7497261774,904000.4427481798,5165982.142857143
train_2012_2022,2022,1142,1142,72017.44186046511,734794.5167357593,878937.6283575672,7682026.217228465
