feature,source_group,importance
annual_median_sale_price,listings,0.24308259065360643
annual_median_ppsf,listings,0.17723206236126474
born_other_state_25plus_bachelors_or_higher_share,demographics,0.08222066395552297
education_bachelors_or_higher_share,demographics,0.07865420596268248
log_median_household_income,demographics,0.0722099856489101
foreign_born_25plus_bachelors_or_higher_share,demographics,0.04366086585573423
education_some_college_or_associates_share,demographics,0.023635211404191468
education_less_than_high_school_share,demographics,0.02287979179519623
avg_pct_met_overall_z_assessment_year,school_quality,0.01967386658025895
age_0_17_share,demographics,0.017772829929558632
crime_property_est_per_1k,crime,0.015722019115688716
annual_off_market_in_two_weeks,listings,0.014625173437223837
annual_avg_sale_to_list,listings,0.01440433063623775
amenity_per_10k_fitness,amenities,0.01132345487025675
amenity_per_10k_coffee_shops,amenities,0.010689784399529783
parent_metro_region,listings,0.01068930839386378
annual_sold_above_list,listings,0.010090933201296894
hispanic_or_latino_total_share,other,0.008861733502592605
race_asian_alone_share,demographics,0.008583451121831405
annual_median_dom,listings,0.007914420387956365
foreign_born_total_share,demographics,0.006998258312458001
minimum_wage_for_model_annual_avg,minimum_wage,0.0064760708577581115
amenity_per_10k_restaurants,amenities,0.006423002334930364
foreign_born_noncitizen_share_of_foreign_born,demographics,0.006369785136012027
race_american_indian_or_alaska_native_alone_share,demographics,0.006100732304592724
minimum_wage_imputed,minimum_wage,0.006028499065202177
age_18_24_share,demographics,0.004743752765688363
native_born_other_state_us_share,demographics,0.004712721590155823
annual_months_of_supply_est,listings,0.004501414577252383
log_total_population,demographics,0.0044655261969259105
foreign_born_noncitizen_derived,demographics,0.004448947238228156
race_some_other_race_alone_share,demographics,0.004254353387939331
age_35_44_share,demographics,0.004247874182828042
race_black_alone_share,demographics,0.004097941155687954
age_45_64_share,demographics,0.003919827496224489
annual_homes_sold,listings,0.003787602932801349
age_25_34_share,demographics,0.00370404817528123
total_students_tested_unreliable,school_quality,0.0036937870732645455
crime_violent_est_per_1k,crime,0.003317102596514612
annual_inventory_mean,listings,0.0025315017490967796
race_two_or_more_share,demographics,0.0024226919869226923
male_share,demographics,0.0021396130600093506
assessment_type,school_quality,0.0013395932430393595
overall_score_range,school_quality,0.0012838548626901707
race_native_hawaiian_or_pacific_islander_alone_share,demographics,0.001198015313038915
log1p_n_schools,school_quality,0.0011945943772617472
amenity_type_count,amenities,0.0004321780230450223
zcta_county_assignment_quality,minimum_wage,0.0004189572928918312
full_year_coverage,listings,0.00027615106653246495
school_year_complete,school_quality,0.00023622688222768506
months_observed,listings,0.00022884704460090553
median_household_income_missing,demographics,4.138114905499703e-05
amenity_per_10k_parks,amenities,3.8463356438164365e-05
demographics_baseline_eligible,demographics,0.0
