year,statewide_sale_price,statewide_homes_sold,zcta_count,statewide_sale_price_k,yoy_price_change_pct
2012,402479.9460386472,874941.0,968,402.4799460386472,
2013,458416.0466517059,998613.0,1084,458.4160466517059,13.897860294308328
2014,495509.9240729616,928872.0,1082,495.5099240729616,8.091749338224808
2015,524728.85348076,1034458.0,1157,524.72885348076,5.896739497692893
2016,551253.1832583768,1017034.0,1124,551.2531832583768,5.0548639743496215
2017,593718.2927635022,1041291.0,1143,593.7182927635022,7.703376741358725
2018,630996.041431962,976227.0,1146,630.996041431962,6.278692963113541
2019,629288.7637425486,992265.0,1155,629.2887637425487,-0.2705686846369071
2020,704488.2809822336,999355.0,1159,704.4882809822336,11.949922129938129
2021,836504.9907465703,1165838.0,1178,836.5049907465702,18.739376271848297
2022,884252.1444680203,853040.0,1160,884.2521444680203,5.707934112722546
2023,880478.7213077543,682850.0,1142,880.4787213077543,-0.4267361050660723
2024,944638.3394178812,706763.0,1138,944.6383394178812,7.28690160902834
