year,mean,median
2012,22.90832414237228,21.379246751054694
2013,12.555022571926205,11.565519795872937
2014,9.089168291527658,8.315591723161099
2015,8.846023612582878,7.461564684407107
2016,9.005432031184354,8.445902007341521
2017,7.691899839987873,7.048819946600071
2018,2.7884558302326674,2.92758658140736
2019,9.138236475621694,8.661051679200792
2020,17.393350584752625,17.03338715259638
2021,8.68915536581588,8.342388159931469
2022,-0.5422300843560696,-0.589279571496637
2023,4.593615086524226,4.6551382163076305
